date,basis,z_score,basis_change,basis_change_z,basis_direction,contract,previous_contract,strike,previous_strike,days_to_expiry,IM_change,MO_change,IM_contribution,MO_contribution,dominant_leg,primary_reason,primary_score,confidence,secondary_reasons,explanation
2025-04-07,-99.39999999999964,-6.437302796470525,-106.59999999999945,-4.306070031813313,Basis moved downward,202506,202506,,,,-603.5999999999995,-710.1999999999989,603.5999999999995,-710.1999999999989,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was -106.60 points, equivalent to -4.31 standard deviations of historical daily basis changes. IM contribution to the basis change was +603.60 points, while the MO synthetic contribution was -710.20 points. The dominant leg was Mixed."
2025-08-20,55.79999999999927,3.3621364326576493,57.599999999998545,2.448676894123826,Basis widened upward,202509,202509,,,,46.20000000000073,103.79999999999927,-46.20000000000073,103.79999999999927,MO Synthetic,Basis Jump,74.48676894123827,Medium,MO Synthetic Price Contribution,"The daily basis change was +57.60 points, equivalent to +2.45 standard deviations of historical daily basis changes. IM contribution to the basis change was -46.20 points, while the MO synthetic contribution was +103.80 points. The dominant leg was MO Synthetic."
2025-08-28,54.00000000000091,2.7801147596948517,115.20000000000073,4.6473557580719325,Basis widened upward,202509,202509,,,,-33.80000000000018,81.40000000000055,33.80000000000018,81.40000000000055,MO Synthetic,Basis Jump,80.0,Medium,MO Synthetic Price Contribution,"The daily basis change was +115.20 points, equivalent to +4.65 standard deviations of historical daily basis changes. IM contribution to the basis change was +33.80 points, while the MO synthetic contribution was +81.40 points. The dominant leg was MO Synthetic."
2025-09-04,37.80000000000018,2.3361335862555515,54.600000000000364,2.9025072352867998,Basis widened upward,202509,202509,,,,-187.19999999999982,-132.59999999999945,187.19999999999982,-132.59999999999945,Mixed,Basis Jump,79.025072352868,Medium,Mixed Price Contribution,"The daily basis change was +54.60 points, equivalent to +2.90 standard deviations of historical daily basis changes. IM contribution to the basis change was +187.20 points, while the MO synthetic contribution was -132.60 points. The dominant leg was Mixed."
2025-09-23,64.40000000000055,4.09743165671325,39.600000000000364,1.9500268119564301,Basis widened upward,202512,202512,,,,-135.19999999999982,-95.59999999999945,135.19999999999982,-95.59999999999945,Mixed,Mixed Price Contribution,45.0,Low,,"IM contribution to the basis change was +135.20 points, while the MO synthetic contribution was -95.60 points. The dominant leg was Mixed."
2025-10-23,50.0,2.8930906217256993,48.399999999999636,2.2938813204640907,Basis widened upward,202512,202512,,,,-39.599999999999454,8.800000000000182,39.599999999999454,8.800000000000182,IM,Basis Jump,72.93881320464091,Medium,IM Price Contribution,"The daily basis change was +48.40 points, equivalent to +2.29 standard deviations of historical daily basis changes. IM contribution to the basis change was +39.60 points, while the MO synthetic contribution was +8.80 points. The dominant leg was IM."
2026-02-02,-55.79999999999927,-4.288274328269794,-68.99999999999818,-3.6350591388208247,Basis moved downward,202603,202603,,,,-304.59999999999945,-373.59999999999764,304.59999999999945,-373.59999999999764,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was -69.00 points, equivalent to -3.64 standard deviations of historical daily basis changes. IM contribution to the basis change was +304.60 points, while the MO synthetic contribution was -373.60 points. The dominant leg was Mixed."
2026-02-09,26.0,1.1353258306589256,59.19999999999982,2.8451813671987773,Basis widened upward,202603,202603,,,,159.20000000000073,218.40000000000055,-159.20000000000073,218.40000000000055,Mixed,Basis Jump,78.45181367198776,Medium,Mixed Price Contribution,"The daily basis change was +59.20 points, equivalent to +2.85 standard deviations of historical daily basis changes. IM contribution to the basis change was -159.20 points, while the MO synthetic contribution was +218.40 points. The dominant leg was Mixed."
2026-02-13,-35.599999999998545,-2.6843861849133885,-40.99999999999818,-1.9513338088091776,Basis moved downward,202603,202603,,,,-121.20000000000073,-162.1999999999989,121.20000000000073,-162.1999999999989,Mixed,Mixed Price Contribution,45.0,Low,,"IM contribution to the basis change was +121.20 points, while the MO synthetic contribution was -162.20 points. The dominant leg was Mixed."
2026-03-20,-12.600000000000364,-1.219718716597205,-58.79999999999927,-2.733947261936102,Basis moved downward,202606,202606,,,,-44.0,-102.79999999999927,44.0,-102.79999999999927,MO Synthetic,Basis Jump,77.33947261936102,Medium,MO Synthetic Price Contribution,"The daily basis change was -58.80 points, equivalent to -2.73 standard deviations of historical daily basis changes. IM contribution to the basis change was +44.00 points, while the MO synthetic contribution was -102.80 points. The dominant leg was MO Synthetic."
2026-05-15,40.39999999999782,1.798225051558431,80.59999999999673,3.5447080574502947,Basis widened upward,202606,202606,,,,-180.59999999999854,-100.00000000000182,180.59999999999854,-100.00000000000182,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was +80.60 points, equivalent to +3.54 standard deviations of historical daily basis changes. IM contribution to the basis change was +180.60 points, while the MO synthetic contribution was -100.00 points. The dominant leg was Mixed."
2026-05-21,-56.0,-3.677281858088192,-82.60000000000036,-3.419728340220125,Basis moved downward,202606,202606,,,,-175.1999999999989,-257.7999999999993,175.1999999999989,-257.7999999999993,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was -82.60 points, equivalent to -3.42 standard deviations of historical daily basis changes. IM contribution to the basis change was +175.20 points, while the MO synthetic contribution was -257.80 points. The dominant leg was Mixed."
2026-07-10,-51.0,-3.163000959504349,-95.80000000000018,-3.6966876551977976,Basis moved downward,202609,202609,,,,3.399999999999636,-92.40000000000055,-3.399999999999636,-92.40000000000055,MO Synthetic,Basis Jump,80.0,Medium,MO Synthetic Price Contribution,"The daily basis change was -95.80 points, equivalent to -3.70 standard deviations of historical daily basis changes. IM contribution to the basis change was -3.40 points, while the MO synthetic contribution was -92.40 points. The dominant leg was MO Synthetic."
2026-07-17,-58.19999999999982,-3.3646645339782792,-92.0,-3.3351598115064185,Basis moved downward,202609,202609,,,,-411.39999999999964,-503.39999999999964,411.39999999999964,-503.39999999999964,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was -92.00 points, equivalent to -3.34 standard deviations of historical daily basis changes. IM contribution to the basis change was +411.40 points, while the MO synthetic contribution was -503.40 points. The dominant leg was Mixed."
2026-07-20,94.19999999999982,3.860214437436246,152.39999999999964,5.239754114060837,Basis widened upward,202609,202609,,,,-364.0,-211.60000000000036,364.0,-211.60000000000036,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was +152.40 points, equivalent to +5.24 standard deviations of historical daily basis changes. IM contribution to the basis change was +364.00 points, while the MO synthetic contribution was -211.60 points. The dominant leg was Mixed."
